Catalog #,Accession #,Class 1,Kingdom,Phylum/Division,Class,Order,Family,Sci. Name:Genus,Sci. Name:Species,Common Name,TSN,Item Count,Quantity,Storage Unit,Description,Dimens/Weight,Collector,Collection #,Collection Date,Condition,Condition Desc,Study #,Other Numbers,Cataloger,Catalog Date,Identified By,Ident Date,Repro Method,Locality,Unit,State,Reference Datum,Watrbody/Drain:Waterbody,Watrbody/Drain:Drainage,UTM Z/E/N,Lat LongN/W,Elevation,Depth,Depos Environ,Habitat/Comm,Habitat,Slope,Aspect,Soil Type,For/Per/Sub,Assoc Spec,Type Specimen,Threat/Endang,T/E Date,Rare,Exotic/Native,Age,Sex,Notes,Field Season,Ctrl Prop,Location,Object Status,Status Date,Catalog Folder,Maint. Cycle
KATM   35989,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Poaceae,Agrostis,mertensii,"","",1,"",EA,Agrostis mertensii  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-195,2002-07-16,COM/GD,"","",Arctos=UAM:Herb:60410 ALAAC=V143166,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills N of lake","",AK,WGS 84,"","","",N59.25/W154.74,610 m,"","","","dwarf shrub tundra, 100% vegetation cover, moist soil, rare, at edge of ground squirrel hole, clumped","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35990,KATM-00305,BIOLOGY,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,delphiniifolium,"","",1,"",EA,Aconitum delphiniifolium  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-196,2002-07-16,COM/GD,"","",Arctos=UAM:Herb:60411 ALAAC=V143167,"MCDONALD, DUSTY",10/22/2004,"Ickert-Bond, Steffi",8/20/2007,"","Alaska Peninsula, Mirror Lake, hills N of lake","",AK,WGS 84,"","","",N59.25/W154.74,610 m,"","","","dwarf shrub tundra, 100% vegetation cover, moist soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35990,KATM-00305,BIOLOGY,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,delphiniifolium,"","",1,"",EA,Aconitum delphiniifolium  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-196,2002-07-16,COM/GD,"","",Arctos=UAM:Herb:60411 ALAAC=V143167,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",8/20/2007,"","Alaska Peninsula, Mirror Lake, hills N of lake","",AK,WGS 84,"","","",N59.25/W154.74,610 m,"","","","dwarf shrub tundra, 100% vegetation cover, moist soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35990,KATM-00305,BIOLOGY,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,delphiniifolium,"","",1,"",EA,Aconitum delphiniifolium  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-196,2002-07-16,COM/GD,"","",Arctos=UAM:Herb:60411 ALAAC=V143167,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",8/20/2007,"","Alaska Peninsula, Mirror Lake, hills N of lake","",AK,WGS 84,"","","",N59.25/W154.74,610 m,"","","","dwarf shrub tundra, 100% vegetation cover, moist soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35990,KATM-00305,BIOLOGY,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aconitum,delphiniifolium,"","",1,"",EA,Aconitum delphiniifolium  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-196,2002-07-16,COM/GD,"","",Arctos=UAM:Herb:60411 ALAAC=V143167,"MCDONALD, DUSTY",10/22/2004,"Ickert-Bond, Steffi",8/20/2007,"","Alaska Peninsula, Mirror Lake, hills N of lake","",AK,WGS 84,"","","",N59.25/W154.74,610 m,"","","","dwarf shrub tundra, 100% vegetation cover, moist soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35991,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Antennaria,alpina,"","",1,"",EA,Antennaria alpina  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-201,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60412 ALAAC=V143168,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Mirror Lake, ponds on NW side of lake 100 m N of GPS point","",AK,WGS 84,"","","",N59.24/W154.77,411 m,"","","","ericaceous low shrub tundra, gravel","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35991,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Antennaria,alpina,"","",1,"",EA,Antennaria alpina  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-201,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60412 ALAAC=V143168,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Mirror Lake, ponds on NW side of lake 100 m N of GPS point","",AK,WGS 84,"","","",N59.24/W154.77,411 m,"","","","ericaceous low shrub tundra, gravel","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35992,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Arnica,lessingii,"","",1,"",EA,Arnica lessingii subsp. lessingii  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-210,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60413 ALAAC=V143169,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, edge of pond just NW of lake","",AK,WGS 84,"","","",N59.24/W154.77,411 m,"","","","wet low shrub sedge meadow, 100% vegetation cover, mesic soil, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35992,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Asterales,Asteraceae,Arnica,lessingii,"","",1,"",EA,Arnica lessingii subsp. lessingii  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-210,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60413 ALAAC=V143169,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, edge of pond just NW of lake","",AK,WGS 84,"","","",N59.24/W154.77,411 m,"","","","wet low shrub sedge meadow, 100% vegetation cover, mesic soil, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35993,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Caryophyllales,Caryophyllaceae,Cerastium,aleuticum,"","",1,"",EA,Cerastium aleuticum aff.  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-225,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60414 ALAAC=V143170,"MCDONALD, DUSTY",10/22/2004,"Lipkin, Rob",6/15/2007,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.79,,"","","","10% vegetation cover, subxeric soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35993,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Caryophyllales,Caryophyllaceae,Cerastium,aleuticum,"","",1,"",EA,Cerastium aleuticum aff.  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-225,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60414 ALAAC=V143170,"MCDONALD, DUSTY",10/22/2004,"",6/15/2007,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.79,,"","","","10% vegetation cover, subxeric soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35993,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Caryophyllales,Caryophyllaceae,Cerastium,aleuticum,"","",1,"",EA,Cerastium aleuticum aff.  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-225,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60414 ALAAC=V143170,"MCDONALD, DUSTY",10/22/2004,"",6/15/2007,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.79,,"","","","10% vegetation cover, subxeric soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35993,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Caryophyllales,Caryophyllaceae,Cerastium,aleuticum,"","",1,"",EA,Cerastium aleuticum aff.  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-225,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60414 ALAAC=V143170,"MCDONALD, DUSTY",10/22/2004,"Lipkin, Rob",6/15/2007,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.79,,"","","","10% vegetation cover, subxeric soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35994,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Caryophyllales,Caryophyllaceae,Minuartia,rubella,"","",1,"",EA,Minuartia rubella  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-227,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60415 ALAAC=V143171,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.79,,"","","","10% vegetation cover, subxeric soil, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35994,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Caryophyllales,Caryophyllaceae,Minuartia,rubella,"","",1,"",EA,Minuartia rubella  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-227,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60415 ALAAC=V143171,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.79,,"","","","10% vegetation cover, subxeric soil, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35995,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Malpighiales,Salicaceae,Salix,rotundifolia,"","",1,"",EA,Salix rotundifolia  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-234,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60416 ALAAC=V143172,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.22/W154.77,,"","","",patchy,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35995,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Malpighiales,Salicaceae,Salix,rotundifolia,"","",1,"",EA,Salix rotundifolia  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-234,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60416 ALAAC=V143172,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.22/W154.77,,"","","",patchy,"","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35996,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Rosales,Rosaceae,Potentilla,hyparctica,"","",1,"",EA,Potentilla hyparctica  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-235,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60417 ALAAC=V143173,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.78,,"","","","270¿ azimuth, 45¿ slope, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35996,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Rosales,Rosaceae,Potentilla,hyparctica,"","",1,"",EA,Potentilla hyparctica  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-235,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60417 ALAAC=V143173,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.78,,"","","","270¿ azimuth, 45¿ slope, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35997,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Poaceae,Poa,,"","",1,"",EA,Poa  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-236,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60418 ALAAC=V143174,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.78,,"","","","270¿ azimuth, 45¿ slope, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35997,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Poaceae,Poa,,"","",1,"",EA,Poa  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-236,2002-07-17,COM/GD,"","",Arctos=UAM:Herb:60418 ALAAC=V143174,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Mirror Lake, hills SW of lake","",AK,WGS 84,"","","",N59.23/W154.78,,"","","","270¿ azimuth, 45¿ slope, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35998,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Malpighiales,Salicaceae,Salix,fuscescens,"","",1,"",EA,Salix fuscescens  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-244,2002-07-23,COM/GD,"","",Arctos=UAM:Herb:60419 ALAAC=V143175,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Nonvianuk R. outlet, fen S of ranger cabin","",AK,WGS 84,"","","",N59.01/W155.6,,"","","","wet sedge Sphagnum fen, 100% vegetation cover, numerous","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   35999,KATM-00305,BIOLOGY,Plantae; Plantae; Plantae; Plantae,Angiosperms; Angiosperms; Angiosperms; Angiosperms,,Alismatales; Alismatales; Alismatales; Alismatales,Potamogetonaceae; Potamogetonaceae; Potamogetonaceae; Potamogetonaceae,Potamogeton; Potamogeton; Potamogeton; Potamogeton,Potamogeton berchtoldii berchtoldii; Potamogeton berchtoldii berchtoldii; Potamogeton berchtoldii berchtoldii,"","",1,"",EA,Potamogeton pusillus subsp. tenuissimus  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-259,2002-07-23,COM/GD,"","",Arctos=UAM:Herb:60420 ALAAC=V143176,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Nonvianuk R. outlet, N end of pond S of ranger cabin","",AK,WGS 84,"","","",N59.01/W155.59,,"","","","pond with round cobble bottom, submerged under .5 m water, scattered/patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36000,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Eriophorum,chamissonis,"","",1,"",EA,Eriophorum russeolum subsp. leiocarpum  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-401,2002-08-05,COM/GD,"","",Arctos=UAM:Herb:60421 ALAAC=V143177,"MCDONALD, DUSTY",10/22/2004,"Elven, Reidar",2/27/2009,"","Alaska Peninsula, Contact Cr., SW shore of Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.2/W155.97,,"","","","wet low shrub sedge fen, 100% vegetation cover, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36000,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Eriophorum,chamissonis,"","",1,"",EA,Eriophorum russeolum subsp. leiocarpum  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-401,2002-08-05,COM/GD,"","",Arctos=UAM:Herb:60421 ALAAC=V143177,"MCDONALD, DUSTY",10/22/2004,"",2/27/2009,"","Alaska Peninsula, Contact Cr., SW shore of Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.2/W155.97,,"","","","wet low shrub sedge fen, 100% vegetation cover, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36000,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Eriophorum,chamissonis,"","",1,"",EA,Eriophorum russeolum subsp. leiocarpum  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-401,2002-08-05,COM/GD,"","",Arctos=UAM:Herb:60421 ALAAC=V143177,"MCDONALD, DUSTY",10/22/2004,"",2/27/2009,"","Alaska Peninsula, Contact Cr., SW shore of Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.2/W155.97,,"","","","wet low shrub sedge fen, 100% vegetation cover, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36000,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Eriophorum,chamissonis,"","",1,"",EA,Eriophorum russeolum subsp. leiocarpum  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-401,2002-08-05,COM/GD,"","",Arctos=UAM:Herb:60421 ALAAC=V143177,"MCDONALD, DUSTY",10/22/2004,"Elven, Reidar",2/27/2009,"","Alaska Peninsula, Contact Cr., SW shore of Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.2/W155.97,,"","","","wet low shrub sedge fen, 100% vegetation cover, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36001,KATM-00305,BIOLOGY,Plantae,Polypodiophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,expansa,"","",1,"",EA,Dryopteris expansa  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-408,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60422 ALAAC=V143178,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Contact Cr., Red Mt. (peak 1721') NW of confl. of Contact Cr. and King Salmon R.","",AK,WGS 84,"","","",N58.21/W156.08,518 m,"","","","dwarf shrub tundra and stony slopes, 180¿ azimuth, 25¿ slope, 80% vegetation cover, talus slope, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36001,KATM-00305,BIOLOGY,Plantae,Polypodiophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,expansa,"","",1,"",EA,Dryopteris expansa  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-408,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60422 ALAAC=V143178,"MCDONALD, DUSTY",10/22/2004,"",10/18/2004,"","Alaska Peninsula, Contact Cr., Red Mt. (peak 1721') NW of confl. of Contact Cr. and King Salmon R.","",AK,WGS 84,"","","",N58.21/W156.08,518 m,"","","","dwarf shrub tundra and stony slopes, 180¿ azimuth, 25¿ slope, 80% vegetation cover, talus slope, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36002,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,spectabilis,"","",1,"",EA,Carex spectabilis  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-415,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60423 ALAAC=V143179,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Contact Cr., Red Mt. (peak 1721') NW of confl. of Contact Cr. and King Salmon R.","",AK,WGS 84,"","","",N58.2/W156.08,,"","","","meadow within alder thicket, 100% vegetation cover, mesic soil, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36002,KATM-00305,BIOLOGY,Plantae,Angiosperms,,Poales,Cyperaceae,Carex,spectabilis,"","",1,"",EA,Carex spectabilis  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-415,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60423 ALAAC=V143179,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Contact Cr., Red Mt. (peak 1721') NW of confl. of Contact Cr. and King Salmon R.","",AK,WGS 84,"","","",N58.2/W156.08,,"","","","meadow within alder thicket, 100% vegetation cover, mesic soil, scattered","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36003,KATM-00305,BIOLOGY,Plantae; Plantae; Plantae,Angiosperms; Angiosperms; Angiosperms,,Poales; Poales; Poales,Poaceae; Poaceae; Poaceae,Lachnagrostis; Agrostis; Agrostis,Agrostis scabra; Agrostis perennans; Lachnagrostis rudis,"","",1,"",EA,Agrostis scabra  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-418,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60424 ALAAC=V143180,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Contact Cr., lowlands between Red Mt. and Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.2/W156.02,,"","","","tussock tundra, 100% vegetation cover, mesic soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36003,KATM-00305,BIOLOGY,Plantae; Plantae; Plantae,Angiosperms; Angiosperms; Angiosperms,,Poales; Poales; Poales,Poaceae; Poaceae; Poaceae,Lachnagrostis; Agrostis; Agrostis,Agrostis scabra; Agrostis perennans; Lachnagrostis rudis,"","",1,"",EA,Agrostis scabra  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-418,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60424 ALAAC=V143180,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",10/18/2004,"","Alaska Peninsula, Contact Cr., lowlands between Red Mt. and Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.2/W156.02,,"","","","tussock tundra, 100% vegetation cover, mesic soil, rare","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36004,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Poales; Poales,Juncaceae; Juncaceae,Juncus; Juncus,Juncus triglumis albescens; Juncus triglumis albescens,"","",1,"",EA,Juncus triglumis subsp. albescens  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-420,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60425 ALAAC=V143181,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",3/13/2009,"","Alaska Peninsula, Contact Cr., lowlands between Red Mt. and Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.21/W156,,"","","","open pothole in low shrub tundra, 40% vegetation cover, mesic soil, patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36004,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Poales; Poales,Juncaceae; Juncaceae,Juncus; Juncus,Juncus triglumis albescens; Juncus triglumis albescens,"","",1,"",EA,Juncus triglumis subsp. albescens  vascular plant specimens mounted on herbarium sheet,"","Jansen, Anna",02-420,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60425 ALAAC=V143181,"MCDONALD, DUSTY",10/22/2004,"Parker, Carolyn",3/13/2009,"","Alaska Peninsula, Contact Cr., lowlands between Red Mt. and Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.21/W156,,"","","","open pothole in low shrub tundra, 40% vegetation cover, mesic soil, patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
KATM   36004,KATM-00305,BIOLOGY,Plantae; Plantae,Angiosperms; Angiosperms,,Poales; Poales,Juncaceae; Juncaceae,Juncus; Juncus,Juncus triglumis albescens; Juncus triglumis albescens,"","",1,"",EA,Juncus triglumis subsp. albescens  vascular plant specimens mounted on herbarium sheet,"","; Carlson, Matthew",02-420,2002-08-06,COM/GD,"","",Arctos=UAM:Herb:60425 ALAAC=V143181,"MCDONALD, DUSTY",10/22/2004,"Elven, Reidar",3/13/2009,"","Alaska Peninsula, Contact Cr., lowlands between Red Mt. and Contact Lake (large lake just W of Contact Cr.)","",AK,WGS 84,"","","",N58.21/W156,,"","","","open pothole in low shrub tundra, 40% vegetation cover, mesic soil, patchy","","","","","",,"","","","","","","",2002,N,UAMN - ALA HERBARIUM,LOAN OUT – NON-NPS – NON-FEDERAL,"",N,""
