Catalog #|Accession #|Class 1|Kingdom|Phylum/Division|Class|Order|Family|Sci. Name:Genus|Sci. Name:Species|Common Name|Item Count|Quantity|Storage Unit|Description|Dimens/Weight|Collector|Collection #|Collection Date|Condition|Condition Desc|Study #|Other Numbers|Cataloger|Catalog Date|Identified By|Ident Date|Repro Method|Locality|Unit|State|Reference Datum|Watrbody/Drain:Waterbody|Watrbody/Drain:Drainage|UTM Z/E/N|Lat LongN/W|Elevation|Depth|Depos Environ|Habitat/Comm|Habitat|Slope|Aspect|Soil Type|For/Per/Sub|Assoc Spec|Type Specimen|Threat/Endang|T/E Date|Rare|Exotic/Native|Age|Sex|Ctrl Prop|Location|Object Status|Status Date
KATM   36028|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asparagales|Orchidaceae|Cypripedium|guttatum|spotted ladys slipper'|2|0|EA|Cypripedium guttatum  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-001|7/2/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60449; ALAAC # V143205|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 200 m NE of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3583 __ __153 __45.8756|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; patchy|||||Fritillaria camschatcensis, Geranium erianthum, Lupinus nootkatensis, Calamagrostis canadensis||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36029|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|pulchra|tealeaf willow|2|0|EA|Salix pulchra  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-004|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60450; ALAAC # V143206; Photo # IP 1-8|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 0.5 km E of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3818 __ __153 __45.7977|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; occasional/scattered|||||Calamagrostis canadensis, Leymus mollis, Epilobium angustifolium, Lupinus nootkatensis, Angelica lucida||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36030|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|bebbiana|gray willow --Bebbs willow'|2|0|EA|Salix bebbiana  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-005|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60451; ALAAC # V143207; Photo # IP 1-8|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 0.5 km E of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3818 __ __153 __45.7977|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; occasional/scattered|||||Calamagrostis canadensis, Leymus mollis, Epilobium angustifolium, Lupinus nootkatensis, Angelica lucida||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36031|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Psilotopsida|Ophioglossales|Ophioglossaceae|Botrychium||grape-fern --moonwort --grapefern|2|0|EA|Botrychium sp. vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-008|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60452; ALAAC # V143208; Photo # IP 1-8|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 0.5 km E of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3818 __ __153 __45.7977|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; rare|||||Calamagrostis canadensis, Leymus mollis, Epilobium angustifolium, Lupinus nootkatensis, Angelica lucida||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36032|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Taraxacum|ceratophorum|common dandelion --woolbearing dandelion|2|0|EA|Taraxacum ceratophorum vascular plant specimens mounted on herbarium sheet; originally called Taraxacum lacerum but that synonym is not accepted by ICMS or ITIS||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-009|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60453; ALAAC # V143209; Photo # IP 1-8|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 0.5 km E of cabin|KATM|AK|NAD 27||||58.6N/153.76W __58 __36.3818 __ __153 __45.7977|2||||forb graminoid meadow; 100% vegetation cover; moist sandy soil over gravel; rare|||||Calamagrostis canadensis, Leymus mollis, Epilobium angustifolium, Lupinus nootkatensis, Angelica lucida||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36033|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Deschampsia|cespitosa|tufted hairgrass|2|0|EA|Deschampsia cespitosa cespitosa vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-010|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60454; ALAAC # V143210; Photo # IP 1-9|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 3 km E of cabin|KATM|AK|NAD 27||||58.61N/153.73W __58 __36.6988 __ __153 __44.1642|2||||wet sedge meadow; 100% vegetation cover; numerous|||||Carex saxatilis, Deschampsia sp., Iris setosa, Salix pulchra||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36034|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|saxatilis|rock sedge|2|0|EA|Carex saxatilis  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-011|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60455; ALAAC # V143211; Photo # IP 1-9|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, 3 km E of cabin|KATM|AK|NAD 27||||58.61N/153.73W __58 __36.6988 __ __153 __44.1642|2||||wet sedge meadow; 100% vegetation cover; abundant|||||Carex saxatilis, Deschampsia sp., Iris setosa, Salix pulchra||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36035|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Poaceae|Calamagrostis|deschampsioides|circumpolar reedgrass|2|0|EA|Calamagrostis deschampsioides  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-013|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60456; ALAAC # V143212; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; occasional/scattered|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36036|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Eleocharis|uniglumis|onescale spikerush|2|0|EA|Eleocharis uniglumis  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-015|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60457; ALAAC # V143213; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; occasional/scattered|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36037|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asterales|Asteraceae|Arctanthemum|arcticum|arctic daisy|2|0|EA|Arctanthemum arcticum  vascular plant specimens mounted on herbarium sheet; was Chrysanthemum arcticum arcticum||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-017|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60458; ALAAC # V143214; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; occasional/scattered|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36038|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|mackenziei|Mackenzies sedge'|2|0|EA|Carex mackenziei  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-018|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60459; ALAAC # V143215; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; occasional/scattered; loosely caespitose|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36039|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Alismatales|Juncaginaceae|Triglochin|palustris|marsh arrowgrass --troscart des marais|2|0|EA|Triglochin palustris vascular plant specimens mounted on herbarium sheet; species is not yet accepted by ICMS  but is accepted by ITIS (TSN 897356), Catalog of Life and USDA Plants, so had to use TSN for genus Triglochin to populate upper taxa||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-021|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60460; ALAAC # V143216; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; rare|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36040|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Alismatales|Ruppiaceae|Ruppia|maritima|widgeongrass --widgeon-grass|2|0|EA|Ruppia maritima  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-022|7/3/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60461; ALAAC # V143217; Photo # IP 1-10,11|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, Swikshak Spit vic., brackish pond and salt marsh S of Swikshak R. on Swikshak Spit|KATM|AK|NAD 27||||58.61N/153.72W __58 __37.0093 __ __153 __43.32|1||||halophytic wet sedge meadow; 100% vegetation cover; silty soil; numerous; submerged|||||Carex ramenskii, Poa eminens, Carex lyngbyei, Festuca rubra, Potentilla egedii, Plantago maritima, Stellaria humifusa||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36041|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Asparagales|Orchidaceae|Dactylorhiza|aristata|keyflower|2|0|EA|Dactylorhiza aristata  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-023|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60462; ALAAC # V143218|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, slope above N side of W side of lagoon|KATM|AK|NAD 27||||58.61N/153.76W __58 __36.9589 __ __153 __46.1446|91||||forb graminoid meadow; 140 degrees azimuth; 25-30 degrees slope; 100% vegetation cover; moist organic soil; occasional/patchy|||||Calamagrostis canadensis, Angelica lucida, Heracleum lanatum, Epilobium angustifolium, Iris setosa, Geranium erianthum, Equisetum arvense, Cypripedium guttatum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36042|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Ranunculales|Ranunculaceae|Ranunculus|abortivus|kidney-leaf buttercup --early woodbuttercup --smallflower buttercup --smallflower crowfoot --littleleaf buttercup|2|0|EA|Ranunculus abortivus  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-024|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60463; ALAAC # V143219|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.61N/153.76W __58 __37.0561 __ __153 __46.1382|213||||herbaceous meadow; 135 degrees azimuth; 10 degrees slope; 100% vegetation cover; moist organic soil; rare|||||Calamagrostis canadensis, Epilobium angustifolium, Heracleum lanatum, Athyrium filix-femina, Equisetum arvense, Gymnocarpium dryopteris||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36043|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Rosales|Rosaceae|Geum|calthifolium|calthaleaf avens|2|0|EA|Geum calthifolium  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-027|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60464; ALAAC # V143220; Photo # AJ 1-9|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.5327 __ __153 __46.469|305||||forb graminoid meadow; 100 degrees azimuth; 10 degrees slope; 100% vegetation cover; moist organic soil|||||Carex macrochaeta, Geranium erianthum, Petasites spp., Sanguisorba spp., Equisetum arvense, Athyrium filix-femina||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36044|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Oxytropis|campestris|field locoweed|2|0|EA|Oxytropis campestris varians vascular plant specimens mounted on herbarium sheet; originally called Oxytropis varians but that synonym not accepted by ITIS or ICMS; taxnotes column of spreadsheet says >O. jordalii''||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-028|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60465; ALAAC # V143221; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; scattered/patchy|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36045|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Plantaginaceae|Lagotis|glauca|weaselsnout|2|0|EA|Lagotis glauca  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-029|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60466; ALAAC # V143222; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; scattered/patchy|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36046|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Carex|circinata|coiled sedge|2|0|EA|Carex circinata  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-030|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60467; ALAAC # V143223; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; rare|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36047|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Lamiales|Orobanchaceae|Pedicularis|lanata|woolly lousewort|2|0|EA|Pedicularis lanata  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-034|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60468; ALAAC # V143224; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; scattered/patchy|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36048|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Fabales|Fabaceae|Oxytropis|campestris|Jordals locoweed'|2|0|EA|Oxytropis campestris var. jordalii vascular plant specimens mounted on herbarium sheet; originally called Oxytropis jordalii but that synonym not accepted by ITIS or ICMS||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-035|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60469; ALAAC # V143225; Photo # AJ 1-13|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, talus knob below peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.62N/153.77W __58 __37.6139 __ __153 __46.6682|457||||herbaceous dwarf shrub tundra patches with open scree rubble; 135 degrees azimuth; 12 degrees slope; 85% vegetation cover; dry/moist talus and scree; scattered/patchy|||||Oxytropis bryophila, Rhododendron camtschaticum||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36049|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Cyperaceae|Trichophorum|cespitosum|tufted bulrush|2|0|EA|Trichophorum cespitosum  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-036|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60470; ALAAC # V143226|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.79W __58 __38.2177 __ __153 __47.4674|610||||135 degrees azimuth; 0 degrees slope; 10% vegetation cover; wet silty clay; numerous|||||||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36050|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Malpighiales|Salicaceae|Salix|rotundifolia|least willow|2|0|EA|Salix rotundifolia  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-039|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60471; ALAAC # V143227; Photo # AJ 1-19|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.78W __58 __38.1482 __ __153 __47.1796|610||||90 degrees azimuth; 5 degrees slope; 85% vegetation cover; moist soil; scattered/patchy|||||Luetkea pectinata||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36051|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Poales|Juncaceae|Luzula|piperi|smooth woodrush --Pipers woodrush'|2|0|EA|Luzula piperi  vascular plant specimens mounted on herbarium sheet; was Luzula wahlenbergii subsp. piperi; cf.||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-040|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60472; ALAAC # V143228; Photo # AJ 1-19|ANDERSON, MARGARET M.|6/26/2013 0:00|Batten, Alan R.|3/30/2011||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.78W __58 __38.1482 __ __153 __47.1796|610||||90 degrees azimuth; 10 degrees slope; 85% vegetation cover; moist soil; scattered/patchy|||||Luetkea pectinata||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36052|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Magnoliopsida|Myrtales|Onagraceae|Epilobium|hornemannii|Hornemanns willowherb'|2|0|EA|Epilobium hornemannii hornemannii vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-041|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60473; ALAAC # V143229; Photo # AJ 1-19|ANDERSON, MARGARET M.|6/26/2013 0:00|Not provided|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.78W __58 __38.1482 __ __153 __47.1796|610||||90 degrees azimuth; 10 degrees slope; 85% vegetation cover; moist soil; rare|||||Luetkea pectinata||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
KATM   36053|KATM-00305|BIOLOGY|Plantae|Tracheophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cryptogramma|acrostichoides|American rockbrake|2|0|EA|Cryptogramma acrostichoides  vascular plant specimens mounted on herbarium sheet||Jansen, Anna; Lipkin, Rob; Carlson, Matthew; Pearse, Ian|02-042|7/4/2002|COM/GD|||UAF Accession # 2004.001.Herb; UAF Catalog # UAM:Herb:60474; ALAAC # V143230|ANDERSON, MARGARET M.|6/26/2013 0:00|Parker, Carolyn L.|10/18/2004||QUAD: Afognak; Katmai National Park; Alaska Peninsula, Swikshak Lagoon, peak 2750 N of Swikshak Lagoon'|KATM|AK|NAD 27||||58.63N/153.79W __58 __38.2203 __ __153 __47.5095|701||||90 degrees azimuth; 20 degrees slope; 10% vegetation cover; moist soil; rare|||||moss, Heuchera glabra||||||||N|UAMN Herbarium - ALA|LOAN OUT - NON-NPS - NON-FEDERAL|2013
